,language,article,date,views
1462,en,bayesian_statistics,13857.0,85.0
1463,en,bayesian_statistics,13858.0,93.0
1464,en,bayesian_statistics,13859.0,76.0
1465,en,bayesian_statistics,13860.0,86.0
1466,en,bayesian_statistics,13861.0,62.0
1467,en,bayesian_statistics,13862.0,33.0
1468,en,bayesian_statistics,13863.0,40.0
1469,en,bayesian_statistics,13864.0,49.0
1470,en,bayesian_statistics,13865.0,58.0
1471,en,bayesian_statistics,13866.0,83.0
1472,en,bayesian_statistics,13867.0,52.0
1473,en,bayesian_statistics,13868.0,45.0
1474,en,bayesian_statistics,13869.0,36.0
1475,en,bayesian_statistics,13870.0,30.0
1476,en,bayesian_statistics,13871.0,32.0
1477,en,bayesian_statistics,13872.0,20.0
1478,en,bayesian_statistics,13873.0,36.0
1479,en,bayesian_statistics,13874.0,36.0
1480,en,bayesian_statistics,13875.0,36.0
1481,en,bayesian_statistics,13876.0,26.0
1482,en,bayesian_statistics,13877.0,33.0
1483,en,bayesian_statistics,13878.0,26.0
1484,en,bayesian_statistics,13879.0,40.0
1485,en,bayesian_statistics,13880.0,60.0
1486,en,bayesian_statistics,13881.0,62.0
1487,en,bayesian_statistics,13882.0,63.0
1488,en,bayesian_statistics,13883.0,37.0
1489,en,bayesian_statistics,13884.0,42.0
1490,en,bayesian_statistics,13885.0,76.0
1491,en,bayesian_statistics,13886.0,79.0
1492,en,bayesian_statistics,13887.0,96.0
1493,en,bayesian_statistics,13888.0,71.0
1494,en,bayesian_statistics,13889.0,76.0
1495,en,bayesian_statistics,13890.0,40.0
1496,en,bayesian_statistics,13891.0,44.0
1497,en,bayesian_statistics,13892.0,75.0
1498,en,bayesian_statistics,13893.0,84.0
1499,en,bayesian_statistics,13894.0,70.0
1500,en,bayesian_statistics,13895.0,169.0
1501,en,bayesian_statistics,13896.0,94.0
1502,en,bayesian_statistics,13897.0,45.0
1503,en,bayesian_statistics,13898.0,61.0
1504,en,bayesian_statistics,13899.0,87.0
1505,en,bayesian_statistics,13900.0,105.0
1506,en,bayesian_statistics,13901.0,86.0
1507,en,bayesian_statistics,13902.0,77.0
1508,en,bayesian_statistics,13903.0,77.0
1509,en,bayesian_statistics,13904.0,50.0
1510,en,bayesian_statistics,13905.0,0.0
1511,en,bayesian_statistics,13906.0,96.0
1512,en,bayesian_statistics,13907.0,90.0
1513,en,bayesian_statistics,13908.0,100.0
1514,en,bayesian_statistics,13909.0,76.0
1515,en,bayesian_statistics,13910.0,75.0
1516,en,bayesian_statistics,13911.0,49.0
1517,en,bayesian_statistics,13912.0,50.0
1518,en,bayesian_statistics,13913.0,79.0
1519,en,bayesian_statistics,13914.0,82.0
1520,en,bayesian_statistics,13915.0,89.0
1521,en,bayesian_statistics,13916.0,95.0
1522,en,bayesian_statistics,13917.0,61.0
1523,en,bayesian_statistics,13918.0,49.0
